condition_id,split,work_mj_m3,loading_angle_deg,effective_plastic_strain,stress_radius_mpa,sigma11_mpa,sigma22_mpa,sigma12_mpa
TS023,train,0.5,80.0,0.002286369,244.8828,147.39842,194.20348,22.76832
TS023,train,0.5,100.0,0.0027894168,193.46107,34.645187,189.59703,16.705137
TS023,train,0.5,120.0,0.003248136,166.80873,-37.27457,160.97409,22.869514
TS023,train,0.5,140.0,0.0033355174,164.1076,-151.54225,56.3401,28.007097
TS023,train,0.5,160.0,0.0024342332,233.28166,-226.64117,-54.888042,5.210383
TS023,train,0.75,0.0,0.002965255,279.02866,251.03923,120.44392,18.122656
TS023,train,0.75,20.0,0.0027804275,292.47845,248.42105,151.94061,27.277838
TS023,train,0.75,40.0,0.0027578063,294.4155,238.03876,170.55351,30.48369
TS023,train,0.75,60.0,0.0028804713,286.3061,215.976,185.42627,30.667562
TS023,train,0.75,80.0,0.0032913785,254.71768,157.86478,198.4113,24.328434
TS023,train,0.75,100.0,0.004063821,198.91568,36.560577,194.80457,16.790627
TS023,train,0.75,120.0,0.0047253296,171.5089,-37.63304,165.77112,22.78102
TS023,train,0.75,140.0,0.0048293527,170.46342,-159.47368,53.18193,28.164513
TS023,train,0.75,160.0,0.0034853804,242.98953,-234.87743,-62.15628,3.1747308
TS023,train,1.0,0.0,0.0038517732,286.24323,256.7652,124.99365,19.577707
TS023,train,1.0,20.0,0.0036237172,299.08932,253.70291,155.81978,28.448284
TS023,train,1.0,40.0,0.00360145,301.0241,243.53062,174.09732,31.598263
TS023,train,1.0,60.0,0.0037433815,293.00702,221.79301,188.81508,31.774054
TS023,train,1.0,80.0,0.0042555556,261.83325,164.48416,202.13521,25.308828
TS023,train,1.0,100.0,0.005307009,203.36258,37.38407,199.17123,17.016441
TS023,train,1.0,120.0,0.006165326,175.55869,-38.38548,169.79968,22.70353
TS023,train,1.0,140.0,0.006273684,175.71854,-165.75812,51.12453,28.017286
TS023,train,1.0,160.0,0.004500667,250.30986,-241.26749,-66.63582,2.0201678
TS023,train,2.0,0.0,0.0072100163,307.99075,275.1882,136.48047,22.422485
TS023,train,2.0,20.0,0.006846673,320.84375,271.58365,167.94427,31.268847
TS023,train,2.0,40.0,0.0068053617,322.1591,260.586,186.28859,34.321533
TS023,train,2.0,60.0,0.0070378706,313.56082,237.87526,201.37071,34.43243
TS023,train,2.0,80.0,0.007922227,282.37494,180.7024,215.22859,27.547203
TS023,train,2.0,100.0,0.010057743,217.2745,38.016193,213.17613,17.857199
TS023,train,2.0,120.0,0.011649395,188.70418,-41.886303,182.61963,22.468988
TS023,train,2.0,140.0,0.011708433,191.5868,-183.59688,47.512,27.19956
TS023,train,2.0,160.0,0.0083283875,270.93417,-260.1205,-75.778625,0.4362567
TS023,train,5.0,0.0,0.016272796,351.4865,313.21597,157.29474,26.398466
TS023,train,5.0,20.0,0.015559113,365.33624,308.22556,192.85356,35.708267
TS023,train,5.0,40.0,0.015498447,365.53293,294.5181,213.01671,38.69423
TS023,train,5.0,60.0,0.015987974,354.2956,267.48267,229.16483,38.23385
TS023,train,5.0,80.0,0.017854718,319.17844,204.0366,243.61491,29.928144
TS023,train,5.0,100.0,0.022958266,246.41924,40.138206,242.37143,19.168993
TS023,train,5.0,120.0,0.026435731,215.58891,-50.014412,208.52881,22.20055
TS023,train,5.0,140.0,0.02618663,220.77104,-214.1454,46.895416,26.122805
TS023,train,5.0,160.0,0.018636066,308.51724,-296.0602,-86.78261,0.08717814
TS023,train,10.0,0.0,0.029600553,396.25238,352.54724,178.40604,29.96123
TS023,train,10.0,20.0,0.02839332,411.11685,345.44205,219.36394,39.576656
TS023,train,10.0,40.0,0.028342158,410.44174,328.72357,242.1263,42.1671
TS023,train,10.0,60.0,0.029267667,396.29407,297.23108,258.97565,40.42596
TS023,train,10.0,80.0,0.03260498,356.54968,226.34387,273.75305,30.909067
TS023,train,10.0,100.0,0.04193991,278.9267,45.97166,274.3842,20.000856
TS023,train,10.0,120.0,0.04811046,244.33827,-57.99146,236.30519,22.316547
TS023,train,10.0,140.0,0.04738054,249.22453,-242.84589,49.581177,26.085363
TS023,train,10.0,160.0,0.033872772,345.39575,-332.13184,-94.79676,0.4879575
TS049,train,0.25,0.0,0.0012209195,227.77943,207.12926,94.159386,-10.702838
TS049,train,0.25,20.0,0.0010763241,258.21786,202.12575,160.03162,-13.959424
TS049,train,0.25,40.0,0.0010321911,273.14993,186.96304,198.61797,-14.352011
TS049,train,0.25,60.0,0.0010261768,274.19852,164.19571,219.2331,-12.706129
TS049,train,0.25,80.0,0.0010779831,260.8341,126.564,227.81969,-10.529243
TS049,train,0.25,100.0,0.0012150803,234.7753,77.12557,221.59248,-7.314374
TS049,train,0.25,120.0,0.0015770437,185.64091,11.245963,185.0683,-3.8721797
TS049,train,0.25,140.0,0.0020102656,137.22122,-123.77503,59.00122,-1.528719
TS049,train,0.25,160.0,0.0014731864,192.58412,-190.03749,-30.786655,3.2703223
TS049,train,0.5,0.0,0.0022904947,237.84323,214.23366,102.40392,-13.601473
TS049,train,0.5,20.0,0.002020053,270.5628,207.55397,172.7584,-16.601406
TS049,train,0.5,40.0,0.0019303358,282.97238,191.53238,207.6759,-16.08789
TS049,train,0.5,60.0,0.001918676,283.1078,170.41815,225.6231,-14.181862
TS049,train,0.5,80.0,0.0020155744,271.83954,136.29259,234.8867,-12.171502
TS049,train,0.5,100.0,0.0022472783,248.0038,87.34306,231.93057,-9.089019
TS049,train,0.5,120.0,0.002856737,204.66536,26.354605,202.8788,-4.8310933
TS049,train,0.5,140.0,0.0037697493,146.6961,-137.43327,51.238697,-1.6793904
TS049,train,0.5,160.0,0.0027293372,204.32715,-200.51971,-38.905914,4.962521
TS049,train,0.75,0.0,0.00332321,244.90376,219.58994,107.353745,-15.237318
TS049,train,0.75,20.0,0.0029266719,278.62067,211.87201,180.0492,-17.879122
TS049,train,0.75,40.0,0.0027970735,289.89713,195.46019,213.41534,-16.99715
TS049,train,0.75,60.0,0.0027879223,290.3801,175.28589,231.00615,-15.210828
TS049,train,0.75,80.0,0.0029231415,279.7865,142.43996,240.45854,-13.055703
TS049,train,0.75,100.0,0.003237628,256.1682,92.20175,238.79099,-9.9630375
TS049,train,0.75,120.0,0.00404937,214.97334,32.890884,212.37103,-5.37744
TS049,train,0.75,140.0,0.0054343557,153.1074,-145.49155,47.626225,-1.7239453
TS049,train,0.75,160.0,0.003931089,211.64893,-207.25314,-42.479794,6.022627
TS049,train,1.0,0.0,0.0043337685,250.8785,224.32977,111.11354,-16.423037
TS049,train,1.0,20.0,0.0038170584,285.5908,215.95612,185.9284,-18.853306
TS049,train,1.0,40.0,0.003653181,296.30804,199.235,218.60298,-17.790676
TS049,train,1.0,60.0,0.0036456755,296.8455,179.48601,235.89276,-16.019693
TS049,train,1.0,80.0,0.0038019465,286.22037,146.86102,245.2859,-13.705882
TS049,train,1.0,100.0,0.0042029377,262.83417,95.552605,244.62312,-10.53305
TS049,train,1.0,120.0,0.005193188,222.3248,36.55511,219.22511,-5.665827
TS049,train,1.0,140.0,0.0070402995,158.14996,-151.37262,45.75313,-1.735863
TS049,train,1.0,160.0,0.0050958586,217.4614,-212.7294,-44.610977,6.7332473
TS049,train,2.0,0.0,0.008175024,269.1663,239.64073,121.0393,-19.294453
TS049,train,2.0,20.0,0.007187751,306.55396,229.82935,201.73917,-21.330175
TS049,train,2.0,40.0,0.006910865,316.64954,212.15701,234.2114,-20.032745
TS049,train,2.0,60.0,0.0068947678,317.4254,192.52481,251.71568,-18.228
